ID_Estudiante;Nombres;Apellidos;Carrera;Facultad;Edad;Genero;Promedio_Acumulado;Asistencia_Promedio;Modalidad_Estudio;Beca;Horas_Trabajo_Semanal;Apoyo_Familiar;Actividad_Extracurricular;Satisfaccion_Programa;Estado_Mental;Creditos_Inscritos;Ha_Desertado;Razon_Desercion;Riesgo_Desercion_2025;Probabilidad_Desercion_2025
VS20241;María Valeria;Flores Pérez;Biología;Ciencias de la Salud;28;Femenino;4;78.08;Presencial;Ninguna;20;Medio;Arte;Media;Malo;21;No;No Aplica;Medio Riesgo;0.473804066
VS20242;Laura Valeria;Torres Gómez;Administración de Empresas;Ciencias Económicas;29;Otro;3.06;85.9;Presencial;Ninguna;40;Bajo;Deporte;Media;Bueno;18;Sí;Problemas Familiares;Medio Riesgo;0.521895907
AZ20243;Jorge Ana;Rodríguez Pérez;Enfermería;Ciencias de la Salud;30;Femenino;2.52;87.58;Presencial;Ninguna;0;Alto;Arte;Alta;Regular;18;No;No Aplica;Bajo Riesgo;0.386869074
JZ20244;Diego Jorge;Pérez Torres;Medicina;Ciencias de la Salud;30;Masculino;2.41;83.2;Virtual;Completa;40;Medio;Voluntariado;Media;Malo;21;No;No Aplica;Medio Riesgo;0.49405184
JZ20245;Ana Juan;Rodríguez Díaz;Medicina;Ciencias de la Salud;19;Masculino;2.11;91.41;Mixta;Ninguna;10;Bajo;Ninguna;Baja;Regular;18;No;No Aplica;Medio Riesgo;0.461227699
DZ20246;Sofía Diego;Pérez González;Comunicación Social;Humanidades;29;Masculino;4.01;94.51;Mixta;Beca académica;20;Bajo;Club Académico;Media;Bueno;15;No;No Aplica;Medio Riesgo;0.470778116
SS20247;Luis Sofía;Torres González;Administración de Empresas;Ciencias Económicas;18;Otro;3.43;78.24;Presencial;Beca deportiva;20;Alto;Ninguna;Media;Malo;18;Sí;Problemas Económicos;Medio Riesgo;0.524661189
LZ20248;Lucía Lucía;González Flores;Contabilidad;Ciencias Económicas;27;Otro;3.59;71.52;Mixta;Parcial;40;Bajo;Deporte;Alta;Bueno;18;No;No Aplica;Medio Riesgo;0.528034795
LZ20249;Ana Luis;Rodríguez Gómez;Contabilidad;Ciencias Económicas;18;Femenino;2.58;56.75;Mixta;Parcial;0;Alto;Arte;Baja;Regular;12;Sí;Carga Académica;Medio Riesgo;0.547507004
JZ202410;Lucía Jorge;Pérez Díaz;Economía;Ciencias Económicas;17;Otro;4.38;53.88;Virtual;Parcial;10;Alto;Ninguna;Alta;Regular;15;No;No Aplica;Medio Riesgo;0.481705366
VZ202411;Diego Valeria;Pérez Ramírez;Enfermería;Ciencias de la Salud;24;Femenino;3.35;53.7;Presencial;Completa;20;Bajo;Club Académico;Alta;Malo;15;No;No Aplica;Medio Riesgo;0.539084605
JZ202412;Diego Jorge;González Hernández;Economía;Ciencias Económicas;22;Otro;3.82;64.73;Presencial;Beca deportiva;40;Bajo;Ninguna;Media;Bueno;15;No;No Aplica;Medio Riesgo;0.590304996
JZ202413;Valeria Jorge;Pérez Flores;Medicina;Ciencias de la Salud;28;Masculino;3.68;85.89;Mixta;Ninguna;0;Alto;Voluntariado;Alta;Bueno;21;No;No Aplica;Medio Riesgo;0.461386758
SZ202414;Lucía Sofía;Martínez Díaz;Administración de Empresas;Ciencias Económicas;24;Otro;4.61;50.55;Virtual;Beca académica;10;Alto;Deporte;Media;Bueno;18;Sí;Trabajo;Medio Riesgo;0.580786111
